year_film,year_ceremony,category,film,name
1960,1961,SHORT SUBJECT (Cartoon),Munro,"William L. Snyder, Producer"
1960,1961,SHORT SUBJECT (Live Action),Day of the Painter,"Ezra R. Baker, Producer"
1960,1961,SOUND,The Alamo,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director"
1960,1961,SPECIAL EFFECTS,The Time Machine (1960),"Visual Effects by Gene Warren, Tim Baar"
1960,1961,WRITING (Screenplay--based on material from another medium),Elmer Gantry,Richard Brooks
1960,1961,WRITING (Story and Screenplay--written directly for the screen),The Apartment,"Billy Wilder, I. A. L. Diamond"
1961,1962,ACTOR,Judgment at Nuremberg,Maximilian Schell
1961,1962,ACTOR IN A SUPPORTING ROLE,West Side Story (1961),George Chakiris
1961,1962,ACTRESS,Two Women,Sophia Loren
1961,1962,ACTRESS IN A SUPPORTING ROLE,West Side Story (1961),Rita Moreno
1961,1962,ART DIRECTION (Black-and-White),The Hustler,Art Direction:  Harry Horner;  Set Decoration:  Gene Callahan
1961,1962,ART DIRECTION (Color),West Side Story (1961),Art Direction:  Boris Leven;  Set Decoration:  Victor A. Gangelin
1961,1962,BEST MOTION PICTURE,West Side Story (1961),"Robert Wise, Producer"
1961,1962,CINEMATOGRAPHY (Black-and-White),The Hustler,Eugen Shuftan
1961,1962,CINEMATOGRAPHY (Color),West Side Story (1961),Daniel L. Fapp
1961,1962,COSTUME DESIGN (Black-and-White),La Dolce Vita,Piero Gherardi
1961,1962,COSTUME DESIGN (Color),West Side Story (1961),Irene Sharaff
1961,1962,DIRECTING,West Side Story (1961),"Robert Wise, Jerome Robbins"
1961,1962,DOCUMENTARY (Feature),Le Ciel et la Boue (Sky Above and Mud Beneath),"Arthur Cohn and Rene Lafuite, Producers"
1961,1962,DOCUMENTARY (Short Subject),Project Hope,"Frank P. Bibas, Producer"
1961,1962,FILM EDITING,West Side Story (1961),Thomas Stanford
1961,1962,FOREIGN LANGUAGE FILM,Through a Glass Darkly (1961),Sweden
1961,1962,MUSIC (Music Score of a Dramatic or Comedy Picture),Breakfast at Tiffany's,Henry Mancini
1961,1962,MUSIC (Scoring of a Musical Picture),West Side Story (1961),"Saul Chaplin, Johnny Green, Sid Ramin, Irwin Kostal"
1961,1962,MUSIC (Song),Breakfast at Tiffany's,Music by Henry Mancini; Lyrics by Johnny Mercer
1961,1962,SHORT SUBJECT (Cartoon),Ersatz (The Substitute),Zagreb Film
1961,1962,SHORT SUBJECT (Live Action),Seawards the Great Ships,Templar Film Studios
1961,1962,SOUND,West Side Story (1961),"Todd-AO Sound Department, Fred Hynes, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director"
1961,1962,SPECIAL EFFECTS,The Guns of Navarone,Visual Effects by Bill Warrington; Audible Effects by Vivian C. Greenham
1961,1962,WRITING (Screenplay--based on material from another medium),Judgment at Nuremberg,Abby Mann
1961,1962,WRITING (Story and Screenplay--written directly for the screen),Splendor in the Grass,William Inge
1962,1963,ACTOR,To Kill a Mockingbird,Gregory Peck
1962,1963,ACTOR IN A SUPPORTING ROLE,Sweet Bird of Youth,Ed Begley
1962,1963,ACTRESS,The Miracle Worker,Anne Bancroft
1962,1963,ACTRESS IN A SUPPORTING ROLE,The Miracle Worker,Patty Duke
1962,1963,ART DIRECTION (Black-and-White),To Kill a Mockingbird,"Art Direction:  Alexander Golitzen, Henry Bumstead;  Set Decoration:  Oliver Emert"
1962,1963,ART DIRECTION (Color),Lawrence of Arabia,"Art Direction:  John Box, John Stoll;  Set Decoration:  Dario Simoni"
1962,1963,BEST PICTURE,Lawrence of Arabia,"Sam Spiegel, Producer"
1962,1963,CINEMATOGRAPHY (Black-and-White),The Longest Day,"Jean Bourgoin, Walter Wottitz, (Henri Persin)"
1962,1963,CINEMATOGRAPHY (Color),Lawrence of Arabia,Fred A. Young
1962,1963,COSTUME DESIGN (Black-and-White),What Ever Happened to Baby Jane?,Norma Koch
1962,1963,COSTUME DESIGN (Color),The Wonderful World of the Brothers Grimm,Mary Wills
1962,1963,DIRECTING,Lawrence of Arabia,David Lean
1962,1963,DOCUMENTARY (Feature),Black Fox,"Louis Clyde Stoumen, Producer"
1962,1963,DOCUMENTARY (Short Subject),Dylan Thomas,"Jack Howells, Producer"
1962,1963,FILM EDITING,Lawrence of Arabia,Anne Coates
1962,1963,FOREIGN LANGUAGE FILM,Sundays and Cybele (1962),France
1962,1963,MUSIC (Music Score--substantially original),Lawrence of Arabia,Maurice Jarre
1962,1963,MUSIC (Scoring of Music--adaptation or treatment),Meredith Willson's The Music Man,Ray Heindorf
1962,1963,MUSIC (Song),Days of Wine and Roses,Music by Henry Mancini; Lyrics by Johnny Mercer
1962,1963,SHORT SUBJECT (Cartoon),The Hole,"John Hubley and Faith Hubley, Producers"
1962,1963,SHORT SUBJECT (Live Action),Heureux Anniversaire (Happy Anniversary),"Pierre Etaix and J.C. Carrière, Producers"
1962,1963,SOUND,Lawrence of Arabia,"Shepperton Studio Sound Department, John Cox, Sound Director"
1962,1963,SPECIAL EFFECTS,The Longest Day,Visual Effects by Robert MacDonald; Audible Effects by Jacques Maumont
1962,1963,WRITING (Screenplay--based on material from another medium),To Kill a Mockingbird,Horton Foote
1962,1963,WRITING (Story and Screenplay--written directly for the screen),Divorce--Italian Style,"Ennio de Concini, Alfredo Giannetti, Pietro Germi"
1963,1964,ACTOR,Lilies of the Field,Sidney Poitier
1963,1964,ACTOR IN A SUPPORTING ROLE,Hud,Melvyn Douglas
1963,1964,ACTRESS,Hud,Patricia Neal
1963,1964,ACTRESS IN A SUPPORTING ROLE,The V.I.P.s,Margaret Rutherford
1963,1964,ART DIRECTION (Black-and-White),America America,Gene Callahan
1963,1964,ART DIRECTION (Color),Cleopatra (1963),"Art Direction:  John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga;  Set Decoration:  Walter M. Scott, Paul S. Fox, Ray Moyer"
1963,1964,BEST PICTURE,Tom Jones,"Tony Richardson, Producer"
1963,1964,CINEMATOGRAPHY (Black-and-White),Hud,James Wong Howe
1963,1964,CINEMATOGRAPHY (Color),Cleopatra (1963),Leon Shamroy
1963,1964,COSTUME DESIGN (Black-and-White),Federico Fellini's 8-1/2,Piero Gherardi
1963,1964,COSTUME DESIGN (Color),Cleopatra (1963),"Irene Sharaff, Vittorio Nino Novarese, Renie"
1963,1964,DIRECTING,Tom Jones,Tony Richardson
1963,1964,DOCUMENTARY (Feature),Robert Frost: A Lover's Quarrel with the World,"Robert Hughes, Producer"
1963,1964,DOCUMENTARY (Short Subject),Chagall,"Simon Schiffrin, Producer"
1963,1964,FILM EDITING,How the West Was Won,Harold F. Kress
1963,1964,FOREIGN LANGUAGE FILM,Federico Fellini's 8-1/2,Italy
1963,1964,MUSIC (Music Score--substantially original),Tom Jones,John Addison
1963,1964,MUSIC (Scoring of Music--adaptation or treatment),Irma La Douce,Andre Previn
1963,1964,MUSIC (Song),Papa's Delicate Condition,Music by James Van Heusen; Lyrics by Sammy Cahn
1963,1964,SHORT SUBJECT (Cartoon),The Critic,"Ernest Pintoff, Producer"
1963,1964,SHORT SUBJECT (Live Action),An Occurrence at Owl Creek Bridge,"Paul de Roubaix and Marcel Ichac, Producers"
1963,1964,SOUND,How the West Was Won,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director"
1963,1964,SOUND EFFECTS,"It's a Mad, Mad, Mad, Mad World",Walter G. Elliott
1963,1964,SPECIAL EFFECTS,Cleopatra (1963),"Emil Kosa, Jr."
1963,1964,WRITING (Screenplay--based on material from another medium),Tom Jones,John Osborne
1963,1964,WRITING (Story and Screenplay--written directly for the screen),How the West Was Won,James R. Webb
1964,1965,ACTOR,My Fair Lady,Rex Harrison
1964,1965,ACTOR IN A SUPPORTING ROLE,Topkapi,Peter Ustinov
1964,1965,ACTRESS,Mary Poppins,Julie Andrews
1964,1965,ACTRESS IN A SUPPORTING ROLE,Zorba the Greek,Lila Kedrova
1964,1965,ART DIRECTION (Black-and-White),Zorba the Greek,Vassilis Fotopoulos
1964,1965,ART DIRECTION (Color),My Fair Lady,"Art Direction:  Gene Allen, Cecil Beaton;  Set Decoration:  George James Hopkins"
1964,1965,BEST PICTURE,My Fair Lady,"Jack L. Warner, Producer"
1964,1965,CINEMATOGRAPHY (Black-and-White),Zorba the Greek,Walter Lassally
1964,1965,CINEMATOGRAPHY (Color),My Fair Lady,Harry Stradling
1964,1965,COSTUME DESIGN (Black-and-White),The Night of the Iguana,Dorothy Jeakins
1964,1965,COSTUME DESIGN (Color),My Fair Lady,Cecil Beaton
1964,1965,DIRECTING,My Fair Lady,George Cukor
1964,1965,DOCUMENTARY (Feature),Jacques-Yves Cousteau's World without Sun,"Jacques-Yves Cousteau, Producer"
1964,1965,DOCUMENTARY (Short Subject),Nine from Little Rock,"Charles Guggenheim, Producer"
1964,1965,FILM EDITING,Mary Poppins,Cotton Warburton
1964,1965,FOREIGN LANGUAGE FILM,"Yesterday, Today and Tomorrow",Italy
1964,1965,MUSIC (Music Score--substantially original),Mary Poppins,"Richard M. Sherman, Robert B. Sherman"
1964,1965,MUSIC (Scoring of Music--adaptation or treatment),My Fair Lady,Andre Previn
1964,1965,MUSIC (Song),Mary Poppins,Music and Lyrics by Richard M. Sherman and Robert B. Sherman
1964,1965,SHORT SUBJECT (Cartoon),The Pink Phink,"David H. DePatie and Friz Freleng, Producers"
1964,1965,SHORT SUBJECT (Live Action),Casals Conducts: 1964,"Edward Schreiber, Producer"
1964,1965,SOUND,My Fair Lady,"Warner Bros. Studio Sound Department, George R. Groves, Sound Director"
1964,1965,SOUND EFFECTS,Goldfinger,Norman Wanstall
1964,1965,SPECIAL VISUAL EFFECTS,Mary Poppins,"Peter Ellenshaw, Eustace Lycett, Hamilton Luske"
1964,1965,WRITING (Screenplay--based on material from another medium),Becket,Edward Anhalt
1964,1965,WRITING (Story and Screenplay--written directly for the screen),Father Goose,"Story by S. H. Barnett;  Screenplay by Peter Stone, Frank Tarloff"
1965,1966,ACTOR,Cat Ballou,Lee Marvin
1965,1966,ACTOR IN A SUPPORTING ROLE,A Thousand Clowns,Martin Balsam
1965,1966,ACTRESS,Darling,Julie Christie
1965,1966,ACTRESS IN A SUPPORTING ROLE,A Patch of Blue,Shelley Winters
1965,1966,ART DIRECTION (Black-and-White),Ship of Fools,Art Direction:  Robert Clatworthy;  Set Decoration:  Joseph Kish
1965,1966,ART DIRECTION (Color),Doctor Zhivago,"Art Direction:  John Box, Terry Marsh;  Set Decoration:  Dario Simoni"
1965,1966,BEST PICTURE,The Sound of Music,"Robert Wise, Producer"
1965,1966,CINEMATOGRAPHY (Black-and-White),Ship of Fools,Ernest Laszlo
1965,1966,CINEMATOGRAPHY (Color),Doctor Zhivago,Freddie Young
1965,1966,COSTUME DESIGN (Black-and-White),Darling,Julie Harris
1965,1966,COSTUME DESIGN (Color),Doctor Zhivago,Phyllis Dalton
1965,1966,DIRECTING,The Sound of Music,Robert Wise
1965,1966,DOCUMENTARY (Feature),The Eleanor Roosevelt Story,"Sidney Glazier, Producer"
1965,1966,DOCUMENTARY (Short Subject),To Be Alive!,"Francis Thompson, Producer"
1965,1966,FILM EDITING,The Sound of Music,William Reynolds
1965,1966,FOREIGN LANGUAGE FILM,The Shop on Main Street (1965),Czechoslovakia
1965,1966,MUSIC (Music Score--substantially original),Doctor Zhivago,Maurice Jarre
1965,1966,MUSIC (Scoring of Music--adaptation or treatment),The Sound of Music,Irwin Kostal
1965,1966,MUSIC (Song),The Sandpiper,Music by Johnny Mandel; Lyrics by Paul Francis Webster
1965,1966,SHORT SUBJECT (Cartoon),The Dot and the Line,"Chuck Jones and Les Goldman, Producers"
1965,1966,SHORT SUBJECT (Live Action),The Chicken (Le Poulet),"Claude Berri, Producer"
1965,1966,SOUND,The Sound of Music,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director"
1965,1966,SOUND EFFECTS,The Great Race,Tregoweth Brown
1965,1966,SPECIAL VISUAL EFFECTS,Thunderball,John Stears
1965,1966,WRITING (Screenplay--based on material from another medium),Doctor Zhivago,Robert Bolt
1965,1966,WRITING (Story and Screenplay--written directly for the screen),Darling,Frederic Raphael
1966,1967,ACTOR,A Man for All Seasons,Paul Scofield
1966,1967,ACTOR IN A SUPPORTING ROLE,The Fortune Cookie,Walter Matthau
1966,1967,ACTRESS,Who's Afraid of Virginia Woolf?,Elizabeth Taylor
1966,1967,ACTRESS IN A SUPPORTING ROLE,Who's Afraid of Virginia Woolf?,Sandy Dennis
1966,1967,ART DIRECTION (Black-and-White),Who's Afraid of Virginia Woolf?,Art Direction:  Richard Sylbert;  Set Decoration:  George James Hopkins
1966,1967,ART DIRECTION (Color),Fantastic Voyage,"Art Direction:  Jack Martin Smith, Dale Hennesy;  Set Decoration:  Walter M. Scott, Stuart A. Reiss"
1966,1967,BEST PICTURE,A Man for All Seasons,"Fred Zinnemann, Producer"
1966,1967,CINEMATOGRAPHY (Black-and-White),Who's Afraid of Virginia Woolf?,Haskell Wexler
1966,1967,CINEMATOGRAPHY (Color),A Man for All Seasons,Ted Moore
1966,1967,COSTUME DESIGN (Black-and-White),Who's Afraid of Virginia Woolf?,Irene Sharaff
1966,1967,COSTUME DESIGN (Color),A Man for All Seasons,"Elizabeth Haffenden, Joan Bridge"
1966,1967,DIRECTING,A Man for All Seasons,Fred Zinnemann
1966,1967,DOCUMENTARY (Feature),The War Game,"Peter Watkins, Producer"
1966,1967,DOCUMENTARY (Short Subject),A Year toward Tomorrow,"Edmond A. Levy, Producer"
1966,1967,FILM EDITING,Grand Prix,"Fredric Steinkamp, Henry Berman, Stewart Linder, Frank Santillo"
1966,1967,FOREIGN LANGUAGE FILM,A Man and a Woman,France
1966,1967,MUSIC (Original Music Score),Born Free,John Barry
1966,1967,MUSIC (Scoring of Music--adaptation or treatment),A Funny Thing Happened on the Way to the Forum,Ken Thorne
1966,1967,MUSIC (Song),Born Free,Music by John Barry; Lyrics by Don Black
1966,1967,SHORT SUBJECT (Cartoon),Herb Alpert and the Tijuana Brass Double Feature,"John Hubley and Faith Hubley, Producers"
1966,1967,SHORT SUBJECT (Live Action),Wild Wings,"Edgar Anstey, Producer"
1966,1967,SOUND,Grand Prix,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director"
1966,1967,SOUND EFFECTS,Grand Prix,Gordon Daniel
1966,1967,SPECIAL VISUAL EFFECTS,Fantastic Voyage,Art Cruickshank
1966,1967,WRITING (Screenplay--based on material from another medium),A Man for All Seasons,Robert Bolt
1966,1967,WRITING (Story and Screenplay--written directly for the screen),A Man and a Woman,"Story by Claude Lelouch;  Screenplay by Claude Lelouch, Pierre Uytterhoeven"
1967,1968,ACTOR,In the Heat of the Night,Rod Steiger
1967,1968,ACTOR IN A SUPPORTING ROLE,Cool Hand Luke,George Kennedy
1967,1968,ACTRESS,Guess Who's Coming to Dinner,Katharine Hepburn
1967,1968,ACTRESS IN A SUPPORTING ROLE,Bonnie and Clyde,Estelle Parsons
1967,1968,ART DIRECTION,Camelot,"Art Direction:  John Truscott, Edward Carrere;  Set Decoration:  John W. Brown"
1967,1968,BEST PICTURE,In the Heat of the Night,"Walter Mirisch, Producer"
1967,1968,CINEMATOGRAPHY,Bonnie and Clyde,Burnett Guffey
1967,1968,COSTUME DESIGN,Camelot,John Truscott
1967,1968,DIRECTING,The Graduate,Mike Nichols
1967,1968,DOCUMENTARY (Feature),The Anderson Platoon,"Pierre Schoendoerffer, Producer"
1967,1968,DOCUMENTARY (Short Subject),The Redwoods,"Mark Harris and Trevor Greenwood, Producers"
1967,1968,FILM EDITING,In the Heat of the Night,Hal Ashby
1967,1968,FOREIGN LANGUAGE FILM,Closely Watched Trains,Czechoslovakia
1967,1968,MUSIC (Original Music Score),Thoroughly Modern Millie,Elmer Bernstein
1967,1968,MUSIC (Scoring of Music--adaptation or treatment),Camelot,"Alfred Newman, Ken Darby"
1967,1968,MUSIC (Song),Doctor Dolittle,Music and Lyrics by Leslie Bricusse
1967,1968,SHORT SUBJECT (Cartoon),The Box,"Fred Wolf, Producer"
1967,1968,SHORT SUBJECT (Live Action),A Place to Stand,"Christopher Chapman, Producer"
1967,1968,SOUND,In the Heat of the Night,Samuel Goldwyn Studio Sound Department
1967,1968,SOUND EFFECTS,The Dirty Dozen,John Poyner
1967,1968,SPECIAL VISUAL EFFECTS,Doctor Dolittle,L. B. Abbott
1967,1968,WRITING (Screenplay--based on material from another medium),In the Heat of the Night,Stirling Silliphant
1967,1968,WRITING (Story and Screenplay--written directly for the screen),Guess Who's Coming to Dinner,William Rose
1968,1969,ACTOR,Charly,Cliff Robertson
1968,1969,ACTOR IN A SUPPORTING ROLE,The Subject Was Roses,Jack Albertson
1968,1969,ACTRESS,Funny Girl,Barbra Streisand
1968,1969,ACTRESS,The Lion in Winter,Katharine Hepburn
1968,1969,ACTRESS IN A SUPPORTING ROLE,Rosemary's Baby,Ruth Gordon
1968,1969,ART DIRECTION,Oliver!,"Art Direction:  John Box, Terence Marsh;  Set Decoration:  Vernon Dixon, Ken Muggleston"
1968,1969,BEST PICTURE,Oliver!,"John Woolf, Producer"
1968,1969,CINEMATOGRAPHY,Romeo and Juliet (1968),Pasqualino De Santis
1968,1969,COSTUME DESIGN,Romeo and Juliet (1968),Danilo Donati
1968,1969,DIRECTING,Oliver!,Carol Reed
1968,1969,DOCUMENTARY (Feature),Journey into Self,"Bill McGaw, Producer"
1968,1969,DOCUMENTARY (Short Subject),Why Man Creates,"Saul Bass, Producer"
1968,1969,FILM EDITING,Bullitt,Frank P. Keller
1968,1969,FOREIGN LANGUAGE FILM,War and Peace (1968),Union of Soviet Socialist Republics
1968,1969,MUSIC (Original Score--for a motion picture [not a musical]),The Lion in Winter,John Barry
1968,1969,MUSIC (Score of a Musical Picture--original or adaptation),Oliver!,Adaptation score by John Green
1968,1969,MUSIC (Song--Original for the Picture),The Thomas Crown Affair,Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman
1968,1969,SHORT SUBJECT (Cartoon),Winnie the Pooh and the Blustery Day,"Walt Disney, Producer"
1968,1969,SHORT SUBJECT (Live Action),Robert Kennedy Remembered,"Charles Guggenheim, Producer"
1968,1969,SOUND,Oliver!,Shepperton Studio Sound Department
1968,1969,SPECIAL VISUAL EFFECTS,2001: A Space Odyssey,Stanley Kubrick
1968,1969,WRITING (Screenplay--based on material from another medium),The Lion in Winter,James Goldman
1968,1969,WRITING (Story and Screenplay--written directly for the screen),The Producers,Mel Brooks
1969,1970,ACTOR,True Grit (1969),John Wayne
1969,1970,ACTOR IN A SUPPORTING ROLE,"They Shoot Horses, Don't They?",Gig Young
1969,1970,ACTRESS,The Prime of Miss Jean Brodie,Maggie Smith
1969,1970,ACTRESS IN A SUPPORTING ROLE,Cactus Flower,Goldie Hawn
1969,1970,ART DIRECTION,"Hello, Dolly!","Art Direction:  John DeCuir, Jack Martin Smith, Herman Blumenthal;  Set Decoration:  Walter M. Scott, George Hopkins, Raphael Bretton"
1969,1970,BEST PICTURE,Midnight Cowboy,"Jerome Hellman, Producer"
1969,1970,CINEMATOGRAPHY,Butch Cassidy and the Sundance Kid,Conrad Hall
1969,1970,COSTUME DESIGN,Anne of the Thousand Days,Margaret Furse
1969,1970,DIRECTING,Midnight Cowboy,John Schlesinger
1969,1970,DOCUMENTARY (Feature),Arthur Rubinstein - The Love of Life,"Bernard Chevry, Producer"
1969,1970,DOCUMENTARY (Short Subject),Czechoslovakia 1968,"Denis Sanders and Robert M. Fresco, Producers"
1969,1970,FILM EDITING,Z,Françoise Bonnot
1969,1970,FOREIGN LANGUAGE FILM,Z,Algeria
1969,1970,MUSIC (Original Score--for a motion picture [not a musical]),Butch Cassidy and the Sundance Kid,Burt Bacharach
1969,1970,MUSIC (Score of a Musical Picture--original or adaptation),"Hello, Dolly!",Adaptation score by Lennie Hayton and Lionel Newman
1969,1970,MUSIC (Song--Original for the Picture),Butch Cassidy and the Sundance Kid,Music by Burt Bacharach; Lyrics by Hal David
1969,1970,SHORT SUBJECT (Cartoon),It's Tough to Be a Bird,"Ward Kimball, Producer"
1969,1970,SHORT SUBJECT (Live Action),The Magic Machines,"Joan Keller Stern, Producer"
1969,1970,SOUND,"Hello, Dolly!","Jack Solomon, Murray Spivack"
1969,1970,SPECIAL VISUAL EFFECTS,Marooned,Robbie Robertson
1969,1970,WRITING (Screenplay--based on material from another medium),Midnight Cowboy,Waldo Salt
1969,1970,WRITING (Story and Screenplay--based on material not previously published or produced),Butch Cassidy and the Sundance Kid,William Goldman
1970,1971,ACTOR,Patton,George C. Scott
1970,1971,ACTOR IN A SUPPORTING ROLE,Ryan's Daughter,John Mills
1970,1971,ACTRESS,Women in Love,Glenda Jackson
1970,1971,ACTRESS IN A SUPPORTING ROLE,Airport,Helen Hayes
1970,1971,ART DIRECTION,Patton,"Art Direction:  Urie McCleary, Gil Parrondo;  Set Decoration:  Antonio Mateos, Pierre-Louis Thevenet"
1970,1971,BEST PICTURE,Patton,"Frank McCarthy, Producer"
1970,1971,CINEMATOGRAPHY,Ryan's Daughter,Freddie Young
1970,1971,COSTUME DESIGN,Cromwell,Nino Novarese
1970,1971,DIRECTING,Patton,Franklin J. Schaffner
1970,1971,DOCUMENTARY (Feature),Woodstock,"Bob Maurice, Producer"
1970,1971,DOCUMENTARY (Short Subject),Interviews with My Lai Veterans,"Joseph Strick, Producer"
1970,1971,FILM EDITING,Patton,Hugh S. Fowler
1970,1971,FOREIGN LANGUAGE FILM,Investigation of a Citizen above Suspicion (1970),Italy
1970,1971,MUSIC (Original Score),Love Story,Francis Lai
1970,1971,MUSIC (Original Song Score),Let It Be,Music and lyrics by The Beatles
1970,1971,MUSIC (Song--Original for the Picture),Lovers and Other Strangers,Music by Fred Karlin; Lyrics by Robb Royer (aka Robb Wilson) and James Griffin (aka Arthur James)
1970,1971,SHORT SUBJECT (Cartoon),Is It Always Right to Be Right?,"Nick Bosustow, Producer"
1970,1971,SHORT SUBJECT (Live Action),The Resurrection of Broncho Billy,"John Longenecker, Producer"
1970,1971,SOUND,Patton,"Douglas Williams, Don Bassman"
1970,1971,SPECIAL VISUAL EFFECTS,Tora! Tora! Tora!,"A. D. Flowers, L. B. Abbott"
1970,1971,WRITING (Screenplay--based on material from another medium),M*A*S*H,"Ring Lardner, Jr."
1970,1971,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Patton,"Francis Ford Coppola, Edmund H. North"
1971,1972,ACTOR,The French Connection,Gene Hackman
1971,1972,ACTOR IN A SUPPORTING ROLE,The Last Picture Show,Ben Johnson
1971,1972,ACTRESS,Klute,Jane Fonda
1971,1972,ACTRESS IN A SUPPORTING ROLE,The Last Picture Show,Cloris Leachman
1971,1972,ART DIRECTION,Nicholas and Alexandra,"Art Direction:  John Box, Ernest Archer, Jack Maxsted, Gil Parrondo;  Set Decoration:  Vernon Dixon"
1971,1972,BEST PICTURE,The French Connection,"Philip D'Antoni, Producer"
1971,1972,CINEMATOGRAPHY,Fiddler on the Roof,Oswald Morris
1971,1972,COSTUME DESIGN,Nicholas and Alexandra,"Yvonne Blake, Antonio Castillo"
1971,1972,DIRECTING,The French Connection,William Friedkin
1971,1972,DOCUMENTARY (Feature),The Hellstrom Chronicle,"Walon Green, Producer"
1971,1972,DOCUMENTARY (Short Subject),Sentinels of Silence,"Manuel Arango and Robert Amram, Producers"
1971,1972,FILM EDITING,The French Connection,Jerry Greenberg
1971,1972,FOREIGN LANGUAGE FILM,The Garden of the Finzi Continis,Italy
1971,1972,MUSIC (Original Dramatic Score),Summer of '42,Michel Legrand
1971,1972,MUSIC (Scoring: Adaptation and Original Song Score),Fiddler on the Roof,Adaptation Score by John Williams
1971,1972,MUSIC (Song--Original for the Picture),Shaft,Music and Lyrics by Isaac Hayes
1971,1972,SHORT SUBJECT (Animated),The Crunch Bird,"Ted Petok, Producer"
1971,1972,SHORT SUBJECT (Live Action),Sentinels of Silence,"Manuel Arango and Robert Amram, Producers"
1971,1972,SOUND,Fiddler on the Roof,"Gordon K. McCallum, David Hildyard"
1971,1972,SPECIAL VISUAL EFFECTS,Bedknobs and Broomsticks,"Alan Maley, Eustace Lycett, Danny Lee"
1971,1972,WRITING (Screenplay--based on material from another medium),The French Connection,Ernest Tidyman
1971,1972,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),The Hospital,Paddy Chayefsky
1972,1973,ACTOR,The Godfather,Marlon Brando
1972,1973,ACTOR IN A SUPPORTING ROLE,Cabaret,Joel Grey
1972,1973,ACTRESS,Cabaret,Liza Minnelli
1972,1973,ACTRESS IN A SUPPORTING ROLE,Butterflies Are Free,Eileen Heckart
1972,1973,ART DIRECTION,Cabaret,"Art Direction:  Rolf Zehetbauer, Jurgen Kiebach;  Set Decoration:  Herbert Strabel"
1972,1973,BEST PICTURE,The Godfather,"Albert S. Ruddy, Producer"
1972,1973,CINEMATOGRAPHY,Cabaret,Geoffrey Unsworth
1972,1973,COSTUME DESIGN,Travels with My Aunt,Anthony Powell
1972,1973,DIRECTING,Cabaret,Bob Fosse
1972,1973,DOCUMENTARY (Feature),Marjoe,"Howard Smith and Sarah Kernochan, Producers"
1972,1973,DOCUMENTARY (Short Subject),This Tiny World,"Charles Huguenot van der Linden and Martina Huguenot van der Linden, Producers"
1972,1973,FILM EDITING,Cabaret,David Bretherton
1972,1973,FOREIGN LANGUAGE FILM,The Discreet Charm of the Bourgeoisie,France
1972,1973,MUSIC (Original Dramatic Score),Limelight,"Charles Chaplin, Raymond Rasch, Larry Russell"
1972,1973,MUSIC (Scoring: Adaptation and Original Song Score),Cabaret,Adaptation Score by Ralph Burns
1972,1973,MUSIC (Song--Original for the Picture),The Poseidon Adventure,Music and Lyrics by Al Kasha and Joel Hirschhorn
1972,1973,SHORT SUBJECT (Animated),A Christmas Carol,"Richard Williams, Producer"
1972,1973,SHORT SUBJECT (Live Action),Norman Rockwell's World...An American Dream,"Richard Barclay, Producer"
1972,1973,SOUND,Cabaret,"Robert Knudson, David Hildyard"
1972,1973,SPECIAL ACHIEVEMENT AWARD (Visual Effects),The Poseidon Adventure,"L. B. Abbott, A. D. Flowers"
1972,1973,WRITING (Screenplay--based on material from another medium),The Godfather,"Mario Puzo, Francis Ford Coppola"
1972,1973,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),The Candidate,Jeremy Larner
1973,1974,ACTOR,Save the Tiger,Jack Lemmon
1973,1974,ACTOR IN A SUPPORTING ROLE,The Paper Chase,John Houseman
1973,1974,ACTRESS,A Touch of Class,Glenda Jackson
1973,1974,ACTRESS IN A SUPPORTING ROLE,Paper Moon,Tatum O'Neal
1973,1974,ART DIRECTION,The Sting,Art Direction:  Henry Bumstead;  Set Decoration:  James Payne
1973,1974,BEST PICTURE,The Sting,"Tony Bill, Michael Phillips and Julia Phillips, Producers"
1973,1974,CINEMATOGRAPHY,Cries and Whispers,Sven Nykvist
1973,1974,COSTUME DESIGN,The Sting,Edith Head
1973,1974,DIRECTING,The Sting,George Roy Hill
1973,1974,DOCUMENTARY (Feature),The Great American Cowboy,"Kieth Merrill, Producer"
1973,1974,DOCUMENTARY (Short Subject),Princeton: A Search for Answers,"Julian Krainin and DeWitt L. Sage, Jr., Producers"
1973,1974,FILM EDITING,The Sting,William Reynolds
1973,1974,FOREIGN LANGUAGE FILM,Day for Night (1973),France
1973,1974,MUSIC (Original Dramatic Score),The Way We Were,Marvin Hamlisch
1973,1974,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),The Sting,Adaptation Score by Marvin Hamlisch
