year_film,year_ceremony,category,film,name
1997,1998,DIRECTING,Titanic (1997),James Cameron
1997,1998,DOCUMENTARY (Feature),The Long Way Home,"Rabbi Marvin Hier, Richard Trank"
1997,1998,DOCUMENTARY (Short Subject),A Story of Healing,"Donna Dewey, Carol Pasternak"
1997,1998,FILM EDITING,Titanic (1997),"Conrad Buff, James Cameron, Richard A. Harris"
1997,1998,FOREIGN LANGUAGE FILM,Character,The Netherlands
1997,1998,MAKEUP,Men in Black (1997),"Rick Baker, David LeRoy Anderson"
1997,1998,MUSIC (Original Dramatic Score),Titanic (1997),James Horner
1997,1998,MUSIC (Original Musical or Comedy Score),The Full Monty,Anne Dudley
1997,1998,MUSIC (Original Song),Titanic (1997),Music by James Horner; Lyric by Will Jennings
1997,1998,SHORT FILM (Animated),Geri's Game,Jan Pinkava
1997,1998,SHORT FILM (Live Action),Visas and Virtue,"Chris Tashima, Chris Donahue"
1997,1998,SOUND,Titanic (1997),"Gary Rydstrom, Tom Johnson, Gary Summers, Mark Ulano"
1997,1998,SOUND EFFECTS EDITING,Titanic (1997),"Tom Bellfort, Christopher Boyes"
1997,1998,VISUAL EFFECTS,Titanic (1997),"Robert Legato, Mark Lasoff, Thomas L. Fisher, Michael Kanfer"
1997,1998,WRITING (Screenplay Based on Material Previously Produced or Published),L.A. Confidential,"Brian Helgeland, Curtis Hanson"
1997,1998,WRITING (Screenplay Written Directly for the Screen),Good Will Hunting,"Ben Affleck, Matt Damon"
1998,1999,ACTOR IN A LEADING ROLE,Life Is Beautiful,Roberto Benigni
1998,1999,ACTOR IN A SUPPORTING ROLE,Affliction,James Coburn
1998,1999,ACTRESS IN A LEADING ROLE,Shakespeare in Love,Gwyneth Paltrow
1998,1999,ACTRESS IN A SUPPORTING ROLE,Shakespeare in Love,Judi Dench
1998,1999,ART DIRECTION,Shakespeare in Love,Art Direction:  Martin Childs;  Set Decoration:  Jill Quertier
1998,1999,BEST PICTURE,Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers"
1998,1999,CINEMATOGRAPHY,Saving Private Ryan,Janusz Kaminski
1998,1999,COSTUME DESIGN,Shakespeare in Love,Sandy Powell
1998,1999,DIRECTING,Saving Private Ryan,Steven Spielberg
1998,1999,DOCUMENTARY (Feature),The Last Days,"James Moll, Ken Lipper"
1998,1999,DOCUMENTARY (Short Subject),The Personals: Improvisations on Romance in the Golden Years,Keiko Ibi
1998,1999,FILM EDITING,Saving Private Ryan,Michael Kahn
1998,1999,FOREIGN LANGUAGE FILM,Life Is Beautiful,Italy
1998,1999,MAKEUP,Elizabeth,Jenny Shircore
1998,1999,MUSIC (Original Dramatic Score),Life Is Beautiful,Nicola Piovani
1998,1999,MUSIC (Original Musical or Comedy Score),Shakespeare in Love,Stephen Warbeck
1998,1999,MUSIC (Original Song),The Prince of Egypt,Music and Lyric by Stephen Schwartz
1998,1999,SHORT FILM (Animated),Bunny,Chris Wedge
1998,1999,SHORT FILM (Live Action),Election Night (Valgaften),"Kim Magnusson, Anders Thomas Jensen"
1998,1999,SOUND,Saving Private Ryan,"Gary Rydstrom, Gary Summers, Andy Nelson, Ronald Judkins"
1998,1999,SOUND EFFECTS EDITING,Saving Private Ryan,"Gary Rydstrom, Richard Hymns"
1998,1999,VISUAL EFFECTS,What Dreams May Come,"Joel Hynek, Nicholas Brooks, Stuart Robertson, Kevin Mack"
1998,1999,WRITING (Screenplay Based on Material Previously Produced or Published),Gods and Monsters,Bill Condon
1998,1999,WRITING (Screenplay Written Directly for the Screen),Shakespeare in Love,"Marc Norman, Tom Stoppard"
1999,2000,ACTOR IN A LEADING ROLE,American Beauty,Kevin Spacey
1999,2000,ACTOR IN A SUPPORTING ROLE,The Cider House Rules,Michael Caine
1999,2000,ACTRESS IN A LEADING ROLE,Boys Don't Cry,Hilary Swank
1999,2000,ACTRESS IN A SUPPORTING ROLE,"Girl, Interrupted",Angelina Jolie
1999,2000,ART DIRECTION,Sleepy Hollow,Art Direction:  Rick Heinrichs;  Set Decoration:  Peter Young
1999,2000,BEST PICTURE,American Beauty,"Bruce Cohen and Dan Jinks, Producers"
1999,2000,CINEMATOGRAPHY,American Beauty,Conrad L. Hall
1999,2000,COSTUME DESIGN,Topsy-Turvy,Lindy Hemming
1999,2000,DIRECTING,American Beauty,Sam Mendes
1999,2000,DOCUMENTARY (Feature),One Day in September,"Arthur Cohn, Kevin Macdonald"
1999,2000,DOCUMENTARY (Short Subject),King Gimp,"Susan Hannah Hadary, William A. Whiteford"
1999,2000,FILM EDITING,The Matrix,Zach Staenberg
