1958,Medicine,Edward Tatum,1909-12-14
1958,Medicine,George Beadle,1903-10-22
1958,Medicine,Joshua Lederberg,1925-05-23
1958,Peace,Georges Pire,1910-02-10
1958,Physics,Igor Y. Tamm,1895-07-08
1958,Physics,Il´ja M. Frank,1908-10-23
1958,Physics,Pavel A. Cherenkov,1904-07-28
1959,Chemistry,Jaroslav Heyrovsky,1890-12-20
1959,Literature,Salvatore Quasimodo,1901-08-20
1959,Medicine,Arthur Kornberg,1918-03-03
1959,Medicine,Severo Ochoa,1905-09-24
1959,Peace,Philip Noel-Baker,1889-11-01
1959,Physics,Emilio Segrè,1905-02-01
1959,Physics,Owen Chamberlain,1920-07-10
1960,Chemistry,Willard F. Libby,1908-12-17
1960,Literature,Saint-John Perse,1887-05-31
1960,Medicine,Peter Medawar,1915-02-28
1960,Medicine,Sir Frank Macfarlane Burnet,1899-09-03
1960,Peace,Albert Lutuli,
1960,Physics,Donald A. Glaser,1926-09-21
1961,Chemistry,Melvin Calvin,1911-04-08
1961,Literature,Ivo Andric,1892-10-10
1961,Medicine,Georg von Békésy,1899-06-03
1961,Peace,Dag Hammarskjöld,1905-07-29
1961,Physics,Robert Hofstadter,1915-02-05
1961,Physics,Rudolf Mössbauer,1929-01-31
1962,Chemistry,John C. Kendrew,1917-03-24
1962,Chemistry,Max F. Perutz,1914-05-19
1962,Literature,John Steinbeck,1902-02-27
1962,Medicine,Francis Crick,1916-06-08
1962,Medicine,James Watson,1928-04-06
1962,Medicine,Maurice Wilkins,1916-12-15
1962,Peace,Linus Pauling,1901-02-28
1962,Physics,Lev Landau,1908-01-22
1963,Chemistry,Giulio Natta,1903-02-26
1963,Chemistry,Karl Ziegler,1898-11-26
1963,Literature,Giorgos Seferis,1900-03-13
1963,Medicine,Alan Hodgkin,1914-02-05
1963,Medicine,Andrew Huxley,1917-11-22
1963,Medicine,Sir John Eccles,1903-01-27
1963,Peace,International Committee of the Red Cross,
1963,Peace,League of Red Cross Societies,
1963,Physics,Eugene Wigner,1902-11-17
1963,Physics,J. Hans D. Jensen,1907-06-25
1963,Physics,Maria Goeppert Mayer,1906-06-28
1964,Chemistry,Dorothy Crowfoot Hodgkin,1910-05-12
1964,Literature,Jean-Paul Sartre,1905-06-21
1964,Medicine,Feodor Lynen,1911-04-06
1964,Medicine,Konrad Bloch,1912-01-21
1964,Peace,Martin Luther King Jr.,1929-01-15
1964,Physics,Aleksandr M. Prokhorov,1916-07-11
1964,Physics,Charles H. Townes,1915-07-28
1964,Physics,Nicolay G. Basov,1922-12-14
1965,Chemistry,Robert B. Woodward,1917-04-10
1965,Literature,Mikhail Sholokhov,1905-05-24
1965,Medicine,André Lwoff,1902-05-08
1965,Medicine,François Jacob,1920-06-17
1965,Medicine,Jacques Monod,1910-02-09
1965,Peace,United Nations Children's Fund,
1965,Physics,Julian Schwinger,1918-02-12
1965,Physics,Richard P. Feynman,1918-05-11
1965,Physics,Sin-Itiro Tomonaga,1906-03-31
1966,Chemistry,Robert S. Mulliken,1896-06-07
1966,Literature,Nelly Sachs,1891-12-10
1966,Literature,Shmuel Agnon,1888-07-17
1966,Medicine,Charles B. Huggins,1901-09-22
1966,Medicine,Peyton Rous,1879-10-05
1966,Physics,Alfred Kastler,1902-05-03
1967,Chemistry,George Porter,1920-12-06
1967,Chemistry,Manfred Eigen,1927-05-09
1967,Chemistry,Ronald G.W. Norrish,1897-11-09
1967,Literature,Miguel Angel Asturias,1899-10-19
1967,Medicine,George Wald,1906-11-18
1967,Medicine,Keffer Hartline,1903-12-22
1967,Medicine,Ragnar Granit,1900-10-30
1967,Physics,Hans Bethe,1906-07-02
1968,Chemistry,Lars Onsager,1903-11-27
1968,Literature,Yasunari Kawabata,1899-06-11
1968,Medicine,H. Gobind Khorana,1922-01-09
1968,Medicine,Marshall W. Nirenberg,1927-04-10
1968,Medicine,Robert W. Holley,1922-01-28
1968,Peace,René Cassin,1887-10-05
1968,Physics,Luis Alvarez,1911-06-13
1969,Chemistry,Derek Barton,1918-09-08
1969,Chemistry,Odd Hassel,1897-05-17
1969,Economics,Jan Tinbergen,1903-04-12
1969,Economics,Ragnar Frisch,1895-03-03
1969,Literature,Samuel Beckett,1906-04-13
1969,Medicine,Alfred D. Hershey,1908-12-04
1969,Medicine,Max Delbrück,1906-09-04
1969,Medicine,Salvador E. Luria,1912-08-13
1969,Peace,International Labour Organization,
1969,Physics,Murray Gell-Mann,1929-09-15
1970,Chemistry,Luis Leloir,1906-09-06
1970,Economics,Paul A. Samuelson,1915-05-15
1970,Literature,Alexandr Solzhenitsyn,1918-12-11
1970,Medicine,Julius Axelrod,1912-05-30
1970,Medicine,Sir Bernard Katz,1911-03-26
1970,Medicine,Ulf von Euler,1905-02-07
1970,Peace,Norman Borlaug,1914-03-25
1970,Physics,Hannes Alfvén,1908-05-30
1970,Physics,Louis Néel,1904-11-22
1971,Chemistry,Gerhard Herzberg,1904-12-25
1971,Economics,Simon Kuznets,1901-04-30
1971,Literature,Pablo Neruda,1904-07-12
1971,Medicine,Earl W. Sutherland Jr.,1915-11-19
1971,Peace,Willy Brandt,1913-12-18
1971,Physics,Dennis Gabor,1900-06-05
1972,Chemistry,Christian Anfinsen,1916-03-26
1972,Chemistry,Stanford Moore,1913-09-04
1972,Chemistry,William H. Stein,1911-06-25
1972,Economics,John R. Hicks,1904-04-08
1972,Economics,Kenneth J. Arrow,1921-08-23
1972,Literature,Heinrich Böll,1917-12-21
1972,Medicine,Gerald M. Edelman,1929-07-01
1972,Medicine,Rodney R. Porter,1917-10-08
1972,Physics,John Bardeen,1908-05-23
1972,Physics,Leon N. Cooper,1930-02-28
1972,Physics,Robert Schrieffer,1931-05-31
1973,Chemistry,Ernst Otto Fischer,1918-11-10
1973,Chemistry,Geoffrey Wilkinson,1921-07-14
1973,Economics,Wassily Leontief,1906-08-05
1973,Literature,Patrick White,1912-05-28
1973,Medicine,Karl von Frisch,1886-11-20
1973,Medicine,Konrad Lorenz,1903-11-07
1973,Medicine,Nikolaas Tinbergen,1907-04-15
1973,Peace,Henry Kissinger,1923-05-27
1973,Peace,Le Duc Tho,1911-10-14
1973,Physics,Brian D. Josephson,1940-01-04
1973,Physics,Ivar Giaever,1929-04-05
1973,Physics,Leo Esaki,1925-03-12
1974,Chemistry,Paul J. Flory,1910-06-19
1974,Economics,Friedrich von Hayek,1899-05-08
1974,Economics,Gunnar Myrdal,1898-12-06
1974,Literature,Eyvind Johnson,1900-07-29
1974,Literature,Harry Martinson,1904-05-06
1974,Medicine,Albert Claude,1898-08-24
1974,Medicine,Christian de Duve,1917-10-02
1974,Medicine,George E. Palade,1912-11-19
1974,Peace,Eisaku Sato,1901-03-27
1974,Peace,Seán MacBride,1904-01-26
1974,Physics,Antony Hewish,1924-05-11
1974,Physics,Martin Ryle,1918-09-27
1975,Chemistry,John Cornforth,1917-09-07
1975,Chemistry,Vladimir Prelog,1906-07-23
1975,Economics,Leonid Vitaliyevich Kantorovich,1912-01-19
1975,Economics,Tjalling C. Koopmans,1910-08-28
1975,Literature,Eugenio Montale,1896-10-12
1975,Medicine,David Baltimore,1938-03-07
1975,Medicine,Howard M. Temin,1934-12-10
1975,Medicine,Renato Dulbecco,1914-02-22
1975,Peace,Andrei Sakharov,1921-05-21
1975,Physics,Aage N. Bohr,1922-06-19
1975,Physics,Ben R. Mottelson,1926-07-09
1975,Physics,James Rainwater,1917-12-09
1976,Chemistry,William Lipscomb,1919-12-09
1976,Economics,Milton Friedman,1912-07-31
1976,Literature,Saul Bellow,1915-06-10
1976,Medicine,Baruch S. Blumberg,1925-07-28
1976,Medicine,D. Carleton Gajdusek,1923-09-09
1976,Peace,Betty Williams,1943-05-22
1976,Peace,Mairead Corrigan,1944-01-27
1976,Physics,Burton Richter,1931-03-22
1976,Physics,Samuel C.C. Ting,1936-01-27
1977,Chemistry,Ilya Prigogine,1917-01-25
1977,Economics,Bertil Ohlin,1899-04-23
1977,Economics,James E. Meade,1907-06-23
